GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
s0,edu.brown.cs.student.main.csv.search,CsvSearcher,0,211,0,28,0,51,0,19,0,5
s0,edu.brown.cs.student.main.csv.search,SearchException,0,4,0,0,0,2,0,1,0,1
s0,edu.brown.cs.student.main.csv.parse,FactoryFailureException,0,10,0,0,0,3,0,1,0,1
s0,edu.brown.cs.student.main.csv.parse,CsvParser,0,80,0,2,0,21,0,4,0,3
s0,edu.brown.cs.student.main.server,BroadbandHandler.new CacheLoader() {...},0,20,0,0,0,4,0,2,0,2
s0,edu.brown.cs.student.main.server,SearchCsvHandler.SearchSuccessResponse,0,52,0,0,0,6,0,8,0,8
s0,edu.brown.cs.student.main.server,ViewCsvHandler,0,30,0,4,0,7,0,4,0,2
s0,edu.brown.cs.student.main.server,SearchCsvHandler.SearchFailureResponse,0,26,0,0,0,3,0,4,0,4
s0,edu.brown.cs.student.main.server,BroadbandHandler.BroadbandSuccessResponse,0,52,0,0,0,10,0,8,0,8
s0,edu.brown.cs.student.main.server,CsvDataWrapper,0,29,0,0,0,11,0,5,0,5
s0,edu.brown.cs.student.main.server,BroadbandHandler.BroadbandFailureResponse,0,26,0,0,0,3,0,4,0,4
s0,edu.brown.cs.student.main.server,LoadCsvHandler.LoadFailureResponse,0,32,0,0,0,3,0,5,0,5
s0,edu.brown.cs.student.main.server,ViewCsvHandler.ViewSuccessResponse,0,31,0,0,0,5,0,5,0,5
s0,edu.brown.cs.student.main.server,ViewCsvHandler.ViewFailureResponse,0,26,0,0,0,3,0,4,0,4
s0,edu.brown.cs.student.main.server,Server,79,0,0,0,23,0,3,0,3,0
s0,edu.brown.cs.student.main.server,SearchCsvHandler,0,99,0,12,0,27,0,8,0,2
s0,edu.brown.cs.student.main.server,BroadbandHandler,9,130,0,10,2,36,0,9,0,4
s0,edu.brown.cs.student.main.server,LoadCsvHandler,10,96,0,8,2,23,0,6,0,2
s0,edu.brown.cs.student.main.server,LoadCsvHandler.LoadSuccessResponse,0,31,0,0,0,5,0,5,0,5
s0,edu.brown.cs.student.main.csv,UtilitySearcher,155,0,14,0,36,0,10,0,3,0
s0,edu.brown.cs.student.main.sources,AcsCensusSource,39,258,3,11,11,58,3,9,0,5
s0,edu.brown.cs.student.main.sources,CensusData,0,9,0,0,0,1,0,2,0,2
s0,edu.brown.cs.student.main.sources,DataSourceException,0,4,0,0,0,2,0,1,0,1
s0,edu.brown.cs.student.main.creator,PairStringListFromRow,0,43,0,6,0,6,0,5,0,2
s0,edu.brown.cs.student.main.creator,LinkedListStringFromRow,0,8,0,0,0,2,0,2,0,2
s0,edu.brown.cs.student.main.creator,ListStringFromRow,0,5,0,0,0,2,0,2,0,2
s0,edu.brown.cs.student.main.creator,ArrayStringFromRow,0,9,0,0,0,2,0,2,0,2
s0,edu.brown.cs.student.main.sources.mocks,StaleMockCensusSource,0,420,0,4,0,57,0,4,0,2
s0,edu.brown.cs.student.main.sources.mocks,EchoMockCensusSource,0,9,0,0,0,4,0,2,0,2
